person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G,cb_person_default_on_file_Y,Actual_Status,Default_Probability,Prescribed_Strategy
30,67000,6.0,10000,6.99,0.15,6,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0.1979125184743425,Green Tier (Standard Approval)
29,32000,5.0,9000,16.77,0.28,5,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,0,0.9751553359877707,Red Tier (Automatic Decline)
23,92004,2.0,8000,11.49,0.09,4,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0,0.2864763687290902,Amber Tier (Risk-Adjusted Conditional Approval)
24,13200,6.0,4000,15.65,0.3,3,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,1,0.9767991948850434,Red Tier (Automatic Decline)
31,116400,3.0,8900,10.0,0.08,5,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,0,0.08374401031401822,Green Tier (Standard Approval)
25,64800,1.0,7000,12.73,0.11,2,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,0,0.319977710234561,Amber Tier (Risk-Adjusted Conditional Approval)
55,75000,3.0,10000,7.51,0.13,20,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.08945369975221346,Green Tier (Standard Approval)
27,231252,1.0,2000,9.91,0.01,10,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0,0.09155152873832902,Green Tier (Standard Approval)
24,74900,8.0,3500,6.39,0.05,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,0.11620535872327029,Green Tier (Standard Approval)
23,50000,0.0,2800,10.59,0.06,2,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0,0.01391689225791194,Green Tier (Standard Approval)
29,92000,5.0,7000,9.32,0.08,10,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,0,0.09447991456868418,Green Tier (Standard Approval)
33,30000,14.0,7500,11.86,0.25,8,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,1,0.7486251803024845,Red Tier (Automatic Decline)
38,110000,6.0,12000,12.99,0.11,11,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,0,0.027496126399628132,Green Tier (Standard Approval)
46,57359,3.0,9000,6.92,0.16,14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.18676594861474985,Green Tier (Standard Approval)
23,30000,0.0,4800,10.99,0.16,4,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,0,0.4028277809702832,Amber Tier (Risk-Adjusted Conditional Approval)
29,72072,4.0,12000,8.49,0.17,8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.19953402368804612,Green Tier (Standard Approval)
28,56004,12.0,5525,12.68,0.1,9,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0,0.3991047315435024,Amber Tier (Risk-Adjusted Conditional Approval)
24,36000,3.0,8000,13.61,0.22,2,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,0,0.5831431525816557,Amber Tier (Risk-Adjusted Conditional Approval)
30,30000,6.0,2800,12.68,0.09,7,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,0,0.42392282282430427,Amber Tier (Risk-Adjusted Conditional Approval)
25,45000,5.0,10400,10.25,0.23,3,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0,0.05139114419097838,Green Tier (Standard Approval)
27,90000,11.0,16000,8.88,0.18,9,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,0,0.20067530801374134,Green Tier (Standard Approval)
22,48996,5.0,5000,7.9,0.1,4,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0.1497611780399371,Green Tier (Standard Approval)
25,118000,9.0,2000,7.12,0.02,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.08701957037867886,Green Tier (Standard Approval)
25,30000,1.0,5000,13.48,0.17,3,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,0,0.06893446625128773,Green Tier (Standard Approval)
36,140000,13.0,20800,11.48,0.15,11,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,0,0.007334509557429341,Green Tier (Standard Approval)
23,96000,5.0,1500,6.62,0.02,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.057709793515965065,Green Tier (Standard Approval)
23,65000,7.0,7425,6.03,0.11,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0.12140952572388959,Green Tier (Standard Approval)
37,30960,5.0,4800,11.49,0.16,16,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,0,0.32324640384003667,Amber Tier (Risk-Adjusted Conditional Approval)
27,69960,3.0,10000,7.49,0.14,9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0.11017890312442842,Green Tier (Standard Approval)
25,58000,8.0,17500,13.11,0.3,4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,0,0.6574282937918348,Red Tier (Automatic Decline)
27,18000,0.0,6000,7.49,0.33,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,0.8679068039005172,Red Tier (Automatic Decline)
23,61200,4.0,20000,11.14,0.28,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,1,0.49989979770123133,Amber Tier (Risk-Adjusted Conditional Approval)
24,32000,1.0,1500,13.92,0.05,4,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,0,0.2656919438399352,Amber Tier (Risk-Adjusted Conditional Approval)
42,150000,19.0,18400,13.48,0.12,17,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0,0.19441702190859078,Green Tier (Standard Approval)
26,32496,8.0,4200,16.02,0.13,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1,0.8697705115263834,Red Tier (Automatic Decline)
39,43680,9.0,16000,10.99,0.37,16,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,1,0.8369000751482254,Red Tier (Automatic Decline)
29,77040,1.0,9500,12.84,0.12,9,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,0,0.254577604293892,Amber Tier (Risk-Adjusted Conditional Approval)
27,150000,11.0,25000,10.36,0.17,7,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,0,0.050390755694825685,Green Tier (Standard Approval)
28,25000,0.0,5175,18.43,0.21,6,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,1,0.9893931207458163,Red Tier (Automatic Decline)
36,160000,5.0,10000,12.73,0.06,15,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0,0.07901590164756163,Green Tier (Standard Approval)
30,75000,2.0,10000,7.29,0.13,9,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,0,0.27714911742273374,Amber Tier (Risk-Adjusted Conditional Approval)
37,46996,2.0,13750,13.98,0.29,13,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0,0.5401860798447158,Amber Tier (Risk-Adjusted Conditional Approval)
21,26000,5.0,6000,5.79,0.23,2,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0.06954967644281976,Green Tier (Standard Approval)
22,74000,6.0,2500,6.62,0.03,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0.07462473260613944,Green Tier (Standard Approval)
25,65000,6.0,7500,13.47,0.12,4,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,0,0.23116778419763734,Green Tier (Standard Approval)
23,59000,5.0,13000,5.42,0.22,4,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0.13322852815104308,Green Tier (Standard Approval)
23,120000,7.0,12000,5.42,0.1,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0,0.03635868225589654,Green Tier (Standard Approval)
